Program,Program Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EES- Appliance Efficiency Program,Residential,2.29,3.35,3.36,4.15,4.67,2.67,2.45,2.38,2.05,1.98,2.59
EES- Home Performance ES - Rebate,Residential,3.08,4.02,4.43,5.29,5.25,3.96,3.27,2.94,1.70,1.24,1.30
EES- Home Performance ES - Loan,Residential,0.45,0.38,0.34,0.20,0.13,0.06,0.69,0.82,0.10,0.15,0.45
EES- Direct Install Weatherization Assistance & CAP WX,Residential,0.60,0.48,0.51,0.43,0.99,0.91,0.19,0.37,0.49,0.76,0.83
EES- Direct Install Program (LED),Residential, , , , , , , , , ,0.01,0.01
EES- Strategic Partnership Between Utilities and Retailers,Residential, , , , , , , ,0.03,0.13,0.9,1.90
EES- Multifamily,Residential,5.15,4.61,3.11,4.48,4.02,5.48,4.59,3.90,4.29,3.26,0.51
EES- Direct Install Multifamily Weatherization Assistance Program,Residential, , , , , , , , , ,,2.93
GB- Residential Ratings,Residential,0.82,0.85,0.59,0.60,0.34,0.21,0.36,0.48,0.51,0.53,0.50
GB- Residential Energy Code,Residential,6.90,4.86,2.87,3.16,3.01,3.91,4.54,8.16,8.57,12.13,6.52
EES- Discontinued Residential Programs,Residential,1.95,1.82,2.96,0.71,0.54,0.44,0.40,0.37,0.32,0.28, 
EES- Commercial Rebate,Commercial,14.12,12.84,11.76,10.00,11.88,12.31,7.79,7.99,8.29,7.9,12.01
EES- Small Business,Commercial,2.77,1.83,1.20,1.94,1.45,0.75,1.12,3.43,4.78,3.71,3.94
EES- Municipal,Commercial,0.00,0.13,0.26,0.37,0.84,0.70,1.14,,,,
EES- Engineering Support,Commercial, , , , , , , , , ,, 
EES/GB Commercial Projects,Commercial,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,2.93,1.4,1.60
GB- Multifamily Ratings,Commercial,0.80,1.30,0.95,0.50,0.09,0.19,1.18,1.05,1.72,1.42,1.04
GB- Multifamily Energy Code,Commercial,2.74,2.17,1.02,0.13,1.20,3.78,5.77,6.90,6.82,6.8,0.93
GB- Commercial Ratings,Commercial,1.48,4.77,4.81,1.65,1.68,1.38,3.02,2.87,2.58,1.98,1.97
GB- Commercial Energy Code,Commercial,3.18,5.21,3.10,1.42,3.28,2.43,3.13,4.59,10.39,9.07,7.54
EES- Discontinued Commercial Programs ,Commercial,0.10,0.07,0.03,0.02,0.02,,,,,, 
DR- Power Partner (Residential),Demand Response,10.22,9.80,3.60,2.30,0.93,0.45,5.76,4.69,4.11,5.92,8.55
DR- Cycle Saver,Demand Response,1.48,0.80,1.09,1.31,0.65,0.55,1.00,0.41,1.58,1.28,0.61
DR- Power Partner (Comm & Muni),Demand Response,1.69,1.43,0.62,0.60,0.14,0.03,0.02,0.00,0.00,0.12,0.17
DR- Load CO-OP,Demand Response,3.56,1.25,3.10,1.97,4.11,6.11,8.36,6.24,1.16,10.01,4.08
DR- ERS (Capacity),Demand Response, , , , , , , , ,0.25,16.25,0.35
DR- Thermal Storage,Demand Response,2.04,2.16,2.61,0.01,1.08,1.24,2.58,8.28,3.14,0,5.19
